key,2015,2010,2007,2000,1995,1990,w9095,w9500,w0007,w0710
abra,241160.0,234733.0,230953.0,209491.0,195964.0,184743.0,-1.21,-0.92,-0.68,-0.94
agusan del norte,691566.0,642196.0,607716.0,552849.0,514485.0,465458.0,-0.43,-0.81,-0.72,0.49
agusan del sur,700653.0,656418.0,609447.0,559294.0,514736.0,420763.0,1.53,-0.56,-0.85,1.2
aklan,574823.0,535725.0,495122.0,451314.0,410539.0,380497.0,-0.89,-0.31,-0.75,1.37
albay,1314826.0,1233432.0,1187185.0,1090907.0,1005315.0,903785.0,-0.31,-0.59,-0.86,-0.14
antique,582012.0,546031.0,515265.0,472822.0,431713.0,406361.0,-1.18,-0.39,-0.84,0.6
apayao,119184.0,112636.0,103633.0,97129.0,83660.0,74720.0,-0.18,0.89,-1.14,1.54
aurora,214336.0,201233.0,187802.0,173797.0,159621.0,139573.0,0.22,-0.52,-0.96,1.01
basilan,459367.0,391179.0,496505.0,332828.0,295565.0,238308.0,1.79,0.22,3.63,-9.84
bataan,760650.0,687482.0,662153.0,557659.0,491459.0,425803.0,0.4,0.39,0.36,-0.16
batanes,17246.0,16604.0,15974.0,16467.0,14180.0,15026.0,-3.4,0.9,-2.46,-0.12
batangas,2694335.0,2377395.0,2245869.0,1905348.0,1658567.0,1476783.0,-0.12,0.66,0.26,0.56
benguet,791590.0,722620.0,674459.0,582515.0,540716.0,485857.0,-0.3,-0.75,0.0,1.01
biliran,171612.0,161760.0,150031.0,140274.0,132209.0,118012.0,-0.17,-1.08,-1.11,1.24
bohol,1313560.0,1255128.0,1230110.0,1139130.0,994440.0,948403.0,-1.43,0.6,-0.97,-0.8
bukidnon,1415226.0,1299192.0,1190284.0,1060415.0,940403.0,843891.0,-0.27,0.25,-0.43,1.7
bulacan,3292071.0,2924433.0,2822216.0,2234088.0,1784441.0,1505219.0,0.92,2.58,1.24,-0.23
cagayan,1199320.0,1124773.0,1072571.0,993580.0,895050.0,829867.0,-0.9,-0.1,-0.98,0.21
camarines norte,583313.0,542915.0,513785.0,470654.0,439151.0,390982.0,-0.12,-0.86,-0.82,0.49
camarines sur,1952544.0,1822371.0,1693821.0,1551549.0,1432598.0,1305919.0,-0.57,-0.64,-0.82,1.16
camiguin,88478.0,83807.0,81293.0,74232.0,68039.0,64247.0,-1.24,-0.48,-0.78,-0.42
capiz,761384.0,719685.0,701664.0,654156.0,624469.0,584091.0,-1.06,-1.36,-1.07,-0.61
catanduanes,260964.0,246300.0,232757.0,215356.0,202464.0,187000.0,-0.82,-1.03,-0.96,0.54
cavite,3678301.0,3090691.0,2856765.0,2063161.0,1610324.0,1152534.0,4.14,3.1,2.55,1.37
cebu,4632359.0,4167320.0,3850989.0,3356137.0,2921145.0,2646517.0,-0.46,0.66,-0.12,1.38
compostela valley,736107.0,687195.0,637366.0,580244.0,520110.0,466286.0,-0.25,0.01,-0.73,1.24
consulates and missions abroad,2134.0,2739.0,2279.0,2851.0,,2336.0,,,-5.08,5.38
cotabato,1379747.0,1226508.0,1121974.0,958643.0,862666.0,763995.0,-0.02,-0.07,0.16,1.76
davao del norte,1016332.0,945764.0,847440.0,743811.0,671333.0,590015.0,0.13,-0.14,-0.22,2.54
davao del sur,2265579.0,2024206.0,2188559.0,1651405.0,1683909.0,1482745.0,0.09,-2.78,1.92,-4.33
davao oriental,558958.0,517618.0,486104.0,446191.0,413472.0,394697.0,-1.45,-0.71,-0.85,0.78
dinagat islands,127152.0,126803.0,120813.0,106951.0,100537.0,98865.0,-2.01,-1.03,-0.34,0.24
eastern samar,467160.0,428877.0,405114.0,375822.0,362324.0,329335.0,-0.52,-1.57,-1.0,0.56
guimaras,174613.0,162943.0,151238.0,141450.0,126470.0,117990.0,-1.01,0.07,-1.11,1.21
i ilocos,5026128.0,4748372.0,4546789.0,4200478.0,3803890.0,3550642.0,-1.02,-0.21,-0.94,0.06
ifugao,202802.0,191078.0,180815.0,161623.0,149598.0,147281.0,-2.03,-0.69,-0.48,0.49
ii cagayan valley,3451410.0,3229163.0,3051487.0,2813159.0,2536035.0,2340545.0,-0.81,-0.11,-0.91,0.54
iii central luzon,11218177.0,10137737.0,9709177.0,8204742.0,7092191.0,6338590.0,-0.2,0.81,0.31,0.05
ilocos norte,593081.0,568017.0,547284.0,514241.0,482651.0,461661.0,-1.49,-0.99,-1.17,-0.17
ilocos sur,689668.0,658587.0,633138.0,594206.0,545385.0,519966.0,-1.42,-0.51,-1.16,-0.09
iloilo,2384415.0,2230195.0,2110588.0,1925573.0,1749561.0,1647486.0,-1.19,-0.28,-0.76,0.49
isabela,1593566.0,1489645.0,1401495.0,1287575.0,1160721.0,1080341.0,-0.97,-0.11,-0.86,0.71
ix zamboanga peninsula,3629783.0,3407353.0,3230094.0,2831412.0,2567651.0,2281064.0,-0.08,-0.24,-0.2,0.43
kalinga,212680.0,201613.0,182326.0,174023.0,154145.0,137055.0,-0.1,0.27,-1.39,2.19
la union,786653.0,741906.0,720972.0,657945.0,597442.0,548742.0,-0.72,-0.27,-0.77,-0.49
laguna,3035081.0,2669847.0,2473530.0,1965872.0,1631082.0,1370232.0,1.0,1.73,1.18,1.28
lanao del norte,1019013.0,930738.0,846329.0,758123.0,713787.0,614092.0,0.54,-1.06,-0.51,1.98
lanao del sur,1045429.0,933260.0,1138544.0,800162.0,686193.0,599982.0,0.22,0.99,2.95,-8.51
leyte,1966768.0,1789158.0,,1592336.0,,1367816.0,,,,
maguindanao,1173933.0,944718.0,1273715.0,801102.0,662180.0,630674.0,-1.4,1.81,4.57,-11.83
maguindanao del norte,299438.0,271786.0,259153.0,163849.0,146779.0,127065.0,0.42,0.03,4.49,0.21
marinduque,234521.0,227828.0,229636.0,217392.0,199910.0,185524.0,-0.91,-0.55,-1.28,-1.82
masbate,892393.0,834650.0,768939.0,707668.0,653852.0,599355.0,-0.68,-0.65,-0.89,1.49
misamis occidental,602126.0,567642.0,531680.0,486723.0,458965.0,424365.0,-0.84,-1.09,-0.81,0.87
misamis oriental,1564459.0,1415944.0,1302851.0,1126215.0,1015865.0,865051.0,0.73,-0.12,-0.01,1.54
mountain province,154590.0,154187.0,148661.0,140631.0,130755.0,116535.0,-0.14,-0.79,-1.27,-0.2
negros occidental,3059136.0,2907859.0,2869766.0,2565723.0,2434186.0,2256908.0,-0.9,-1.23,-0.48,-1.05
negros oriental,1354995.0,1286666.0,1231904.0,1130088.0,1025247.0,925272.0,-0.38,-0.25,-0.84,0.06
northern samar,632379.0,589013.0,549759.0,500639.0,454195.0,383654.0,0.89,-0.25,-0.74,1.01
nueva ecija,2151461.0,1955373.0,1843853.0,1659883.0,1505827.0,1312680.0,0.28,-0.25,-0.58,0.62
nueva vizcaya,452287.0,421355.0,397837.0,366962.0,334965.0,301179.0,-0.31,-0.39,-0.92,0.58
occidental mindoro,487414.0,452971.0,421952.0,380250.0,339605.0,282593.0,1.18,0.09,-0.59,1.08
oriental mindoro,844059.0,785602.0,735769.0,681818.0,608616.0,550049.0,-0.41,0.1,-0.98,0.88
palawan,1104585.0,994340.0,892660.0,755412.0,640486.0,,,1.24,0.29,2.47
pampanga,2609744.0,2340355.0,2229349.0,1882730.0,1635767.0,1532615.0,-1.09,0.7,0.32,0.25
pangasinan,2956726.0,2779862.0,2645395.0,2434086.0,2178412.0,2020273.0,-0.9,0.05,-0.88,0.28
quezon,2122830.0,1987030.0,1882900.0,1679030.0,1537742.0,1372455.0,-0.17,-0.46,-0.44,0.44
quirino,188991.0,176786.0,163610.0,148575.0,131119.0,114132.0,0.31,0.36,-0.7,1.32
rizal,2884227.0,2484840.0,2298691.0,1707218.0,1312489.0,977448.0,3.35,3.44,2.15,1.34
romblon,292781.0,283930.0,279774.0,264357.0,244654.0,227621.0,-0.96,-0.69,-1.25,-1.0
samar,780481.0,733377.0,695149.0,641124.0,589373.0,533733.0,-0.45,-0.54,-0.91,0.43
sarangani,544261.0,498904.0,475514.0,410622.0,367006.0,283141.0,2.66,0.08,0.01,0.23
siquijor,95984.0,91066.0,87695.0,81598.0,73756.0,73932.0,-2.37,-0.17,-1.04,-0.15
sorsogon,792949.0,740743.0,709673.0,650535.0,591927.0,522960.0,0.03,-0.32,-0.83,0.04
south cotabato,1509735.0,1365286.0,1296797.0,1102550.0,948328.0,789847.0,1.16,0.92,0.23,0.35
southern leyte,421750.0,399137.0,390847.0,360160.0,317565.0,321940.0,-2.58,0.38,-0.9,-0.77
sultan kudarat,812095.0,747087.0,677062.0,586505.0,522187.0,435905.0,1.12,0.16,-0.04,2.11
sulu,824731.0,718290.0,849670.0,619668.0,536201.0,469971.0,0.18,0.79,2.41,-7.46
surigao del norte,485088.0,442588.0,409468.0,374465.0,341666.0,327113.0,-1.5,-0.38,-0.8,1.33
surigao del sur,592250.0,561219.0,545902.0,501808.0,471263.0,452098.0,-1.54,-1.01,-0.87,-0.52
tarlac,1366027.0,1273240.0,1243449.0,1068783.0,945810.0,859708.0,-0.52,0.3,0.07,-0.67
tawi tawi,390715.0,366550.0,450346.0,322317.0,250718.0,228204.0,-0.54,3.18,2.68,-8.75
vi western visayas,4477247.0,4194579.0,3973877.0,3645315.0,3342752.0,3136335.0,-1.12,-0.49,-0.84,0.45
vii central visayas,6041903.0,5513514.0,5168794.0,4576865.0,3989341.0,3668852.0,-0.74,0.63,-0.35,0.84
viii eastern visayas,4440150.0,4101322.0,3915140.0,3610355.0,3366917.0,3054490.0,-0.48,-0.85,-0.91,0.17
x northern mindanao,4689302.0,4297323.0,3952437.0,3505708.0,3197059.0,2811646.0,0.11,-0.37,-0.37,1.55
xii soccsksargen,4545276.0,4109571.0,3830500.0,3222169.0,2846966.0,2399953.0,0.93,0.33,0.38,1.06
zambales,823888.0,755621.0,720355.0,627802.0,569266.0,562992.0,-2.11,-0.24,-0.12,0.22
zamboanga del norte,1011393.0,957997.0,907238.0,823130.0,770697.0,676862.0,0.14,-0.94,-0.69,0.46
zamboanga del sur,1872473.0,1766814.0,1688685.0,1438011.0,1278057.0,1138086.0,-0.13,0.2,0.2,0.12
zamboanga sibugay,633129.0,584685.0,546186.0,497239.0,450340.0,407038.0,-0.41,-0.21,-0.73,0.97
national capital region,12877253.0,11855975.0,11547959.0,9932560.0,9454040.0,7948392.0,0.98,-1.3,0.06,-0.57
