"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"PHILIPPINES",701884,701884,1852,1852,20529,20529
"NATIONAL CAPITAL REGION (NCR)",84035,99600,223,291,2815,3643
"…...City of Caloocan",10231,8355,28,22,331,191
"…...City of Las Pińas",4089,4874,11,16,118,151
"…...City of Makati",1889,1191,3,1,34,11
"…...City of Malabon",2691,1795,8,2,76,29
"…...City of Mandaluyong",2355,2152,7,6,75,59
"…...City of Manila",12796,21196,26,64,362,1019
"…...City of Marikina",3668,4329,11,19,118,197
"…...City of Muntinlupa",3223,3946,7,7,117,118
"…...City of Navotas",1854,1160,3,1,62,27
"…...City of Parańaque",4091,3105,12,8,147,90
"…...Pasay City",2420,2250,11,10,80,55
"…...City of Pasig",4825,6183,13,34,216,301
"…...Quezon City",18393,28569,55,76,670,1069
"…...City of San Juan",861,992,0,0,20,20
"…...City of Taguig",5986,5727,19,16,243,188
"…...City of Valenzuela",4225,3511,7,8,135,114
"…...Pateros",438,265,2,1,11,4
"CORDILLERA ADMINISTRATIVE REGION (CAR)",10323,10377,32,20,208,195
"….ABRA",1916,1636,11,4,37,11
"…...Bangued",393,654,3,3,10,7
"…...Boliney",19,15,0,0,1,0
"…...Bucay",132,83,0,0,3,2
"…...Bucloc",20,13,0,0,0,0
"…...Daguioman",16,12,0,0,1,0
"…...Danglas",35,14,0,0,0,0
"…...Dolores",103,100,0,0,1,1
"…...La Paz",155,96,1,1,3,0
"…...Lacub",13,6,1,0,0,0
"…...Lagangilang",111,54,1,0,3,0
"…...Lagayan",42,27,1,0,0,0
"…...Langiden",22,7,0,0,0,0
"…...Licuan-Baay",32,16,0,0,1,0
"…...Luba",60,39,0,0,1,0
"…...Malibcong",24,12,0,0,0,0
"…...Manabo",98,69,0,0,1,0
"…...Peńarrubia",55,25,0,0,3,0
"…...Pidigan",101,62,1,0,3,0
"…...Pilar",71,51,1,0,4,0
"…...Sallapadan",47,34,1,0,0,0
"…...San Isidro",46,37,0,0,1,1
"…...San Juan",77,46,1,0,0,0
"…...San Quintin",36,18,0,0,0,0
"…...Tayum",117,75,0,0,1,0
"…...Tineg",17,10,0,0,0,0
"…...Tubo",31,23,0,0,0,0
"…...Villaviciosa",43,38,0,0,0,0
"….APAYAO",763,953,3,2,25,43
"…...Calanasan",49,25,0,0,3,2
"…...Conner",187,225,0,0,7,9
"…...Flora",122,73,0,0,3,1
"…...Kabugao",78,53,1,1,3,0
"…...Luna",153,463,2,1,4,30
"…...Pudtol",87,59,0,0,3,1
"…...Santa Marcela",87,55,0,0,2,0
"….BENGUET",2371,1920,3,0,43,20
"…...Atok",119,93,0,0,1,2
"…...Bakun",73,47,0,0,2,1
"…...Bokod",113,93,0,0,0,0
"…...Buguias",210,189,1,0,6,2
"…...Itogon",362,215,1,0,4,0
"…...Kabayan",95,68,0,0,2,0
"…...Kapangan",142,113,1,0,1,0
"…...Kibungan",90,59,0,0,1,0
"…...La Trinidad",576,696,0,0,16,14
"…...Mankayan",184,111,0,0,2,0
"…...Sablan",80,51,0,0,2,0
"…...Tuba",211,115,0,0,2,0
"…...Tublay",116,70,0,0,4,1
"….IFUGAO",1008,771,3,1,17,7
"…...Aguinaldo",72,53,1,0,3,1
"…...Alfonso Lista",186,157,0,0,5,2
"…...Asipulo",38,24,0,0,0,0
"…...Banaue",112,76,1,1,3,0
"…...Hingyon",67,42,0,0,0,0
"…...Hungduan",49,36,0,0,1,0
"…...Kiangan",91,56,0,0,2,1
"…...Lagawe",119,103,0,0,0,1
"…...Lamut",134,119,1,0,0,0
"…...Mayoyao",64,49,0,0,0,0
"…...Tinoc",76,56,0,0,3,2
"….KALINGA",1321,1150,4,2,21,13
"…...Balbalan",73,47,0,0,0,0
"…...Lubuagan",59,49,0,0,3,1
"…...Pasil",56,38,1,1,0,0
"…...Pinukpuk",157,110,1,0,1,0
"…...Rizal",106,80,0,0,2,0
"…...City of Tabuk",769,760,1,1,13,10
"…...Tanudan",31,19,1,0,0,0
"…...Tinglayan",70,47,0,0,2,2
"….MOUNTAIN PROVINCE",976,935,4,1,24,28
"…...Barlig",31,22,0,0,0,0
"…...Bauko",201,343,1,1,10,22
"…...Besao",57,50,0,0,0,0
"…...Bontoc",174,165,1,0,4,3
"…...Natonin",60,43,0,0,1,0
"…...Paracelis",149,105,1,0,6,2
"…...Sabangan",54,28,1,0,0,0
"…...Sadanga",55,46,0,0,1,1
"…...Sagada",64,46,0,0,1,0
"…...Tadian",131,87,0,0,1,0
"….CITY OF BAGUIO",1968,3012,4,10,41,73
"REGION I (ILOCOS REGION)",40946,40606,75,81,1238,1245
"….ILOCOS NORTE",5094,5329,9,18,130,163
"…...Adams",16,12,0,0,0,0
"…...Bacarra",268,153,0,0,11,0
"…...Badoc",249,160,0,0,10,1
"…...Bangui",147,137,1,1,0,0
"…...Banna",130,68,2,1,2,0
"…...City of Batac",492,1901,0,14,7,133
"…...Burgos",83,43,0,0,2,0
"…...Carasi",13,8,0,0,0,0
"…...Currimao",125,76,0,0,2,0
"…...Dingras",340,235,1,0,6,2
"…...Dumalneg",22,12,0,0,0,0
"…...City of Laoag",927,1109,1,1,18,12
"…...Marcos",133,124,0,0,4,3
"…...Nueva Era",69,39,0,0,2,0
"…...Pagudpud",158,90,1,1,6,1
"…...Paoay",227,128,0,0,6,1
"…...Pasuquin",258,159,0,0,8,2
"…...Piddig",210,134,0,0,5,1
"…...Pinili",131,80,0,0,5,1
"…...San Nicolas",369,259,1,0,13,3
"…...Sarrat",210,121,0,0,4,0
"…...Solsona",237,139,2,0,8,0
"…...Vintar",280,142,0,0,11,3
"….ILOCOS SUR",5479,5305,8,5,118,84
"…...Alilem",56,36,0,0,0,0
"…...Banayoyo",42,27,0,0,2,0
"…...Bantay",289,672,2,4,4,13
"…...Burgos",91,54,0,0,3,0
"…...Cabugao",291,245,1,0,7,3
"…...City of Candon",512,678,3,1,11,10
"…...Caoayan",165,89,0,0,3,0
"…...Cervantes",115,95,0,0,4,2
"…...Galimuyod",87,53,0,0,0,0
"…...Gregorio del Pilar",40,31,0,0,0,0
"…...Lidlidda",36,25,0,0,0,0
"…...Magsingal",233,158,0,0,5,0
"…...Nagbukel",41,20,0,0,0,0
"…...Narvacan",375,371,1,0,12,6
"…...Quirino",39,30,0,0,1,0
"…...Salcedo",88,86,0,0,3,0
"…...San Emilio",60,41,0,0,1,0
"…...San Esteban",55,41,0,0,0,0
"…...San Ildefonso",59,36,0,0,1,1
"…...San Juan",206,116,0,0,3,0
"…...San Vicente",112,54,0,0,4,0
"…...Santa",132,79,0,0,1,0
"…...Santa Catalina",120,55,0,0,6,0
"…...Santa Cruz",316,178,0,0,5,1
"…...Santa Lucia",201,182,0,0,2,1
"…...Santa Maria",236,174,0,0,4,3
"…...Santiago",157,103,1,0,3,1
"…...Santo Domingo",203,102,0,0,2,1
"…...Sigay",14,10,0,0,0,0
"…...Sinait",235,217,0,0,6,4
"…...Sugpon",26,21,0,0,1,0
"…...Suyo",74,43,0,0,2,0
"…...Tagudin",340,418,0,0,11,4
"…...City of Vigan",433,765,0,0,11,34
"….LA UNION",6062,6333,13,14,163,207
"…...Agoo",511,681,1,3,18,17
"…...Aringay",342,196,2,0,14,2
"…...Bacnotan",295,264,1,0,7,0
"…...Bagulin",78,63,0,0,2,1
"…...Balaoan",352,366,2,1,14,3
"…...Bangar",260,143,0,0,6,0
"…...Bauang",641,292,1,0,19,1
"…...Burgos",53,26,0,0,0,0
"…...Caba",179,149,2,0,2,0
"…...Luna",305,185,0,0,4,3
"…...Naguilian",450,340,2,0,13,4
"…...Pugo",127,66,0,0,2,0
"…...Rosario",400,292,0,1,13,3
"…...City of San Fernando",874,2620,2,9,25,170
"…...San Gabriel",118,64,0,0,0,0
"…...San Juan",333,187,0,0,10,2
"…...Santo Tomas",281,139,0,0,9,1
"…...Santol",100,57,0,0,1,0
"…...Sudipen",150,77,0,0,1,0
"…...Tubao",213,126,0,0,3,0
"….PANGASINAN",24311,23639,45,44,827,791
"…...Agno",240,153,0,0,3,1
"…...Aguilar",328,202,0,0,13,1
"…...City of Alaminos",800,935,2,2,21,17
"…...Alcala",380,219,0,0,10,1
"…...Anda",286,211,0,0,3,0
"…...Asingan",471,335,0,0,18,7
"…...Balungao",255,177,0,0,9,1
"…...Bani",425,263,0,0,14,5
"…...Basista",288,148,0,0,14,1
"…...Bautista",258,153,0,0,10,2
"…...Bayambang",910,917,1,0,28,7
"…...Binalonan",528,306,3,0,17,2
"…...Binmaley",653,369,0,0,15,4
"…...Bolinao",579,485,2,0,23,8
"…...Bugallon",579,345,1,0,25,5
"…...Burgos",162,90,1,0,2,0
"…...Calasiao",742,404,1,0,32,2
"…...City of Dagupan",1473,4674,6,22,63,460
"…...Dasol",239,292,0,0,17,12
"…...Infanta",225,149,0,0,13,2
"…...Labrador",186,123,0,0,4,0
"…...Laoac",269,165,0,0,11,2
"…...Lingayen",943,918,0,1,29,9
"…...Mabini",172,91,0,0,5,0
"…...Malasiqui",1110,782,3,0,37,5
"…...Manaoag",546,374,0,0,20,7
"…...Mangaldan",812,445,1,0,29,3
"…...Mangatarem",587,526,4,3,15,6
"…...Mapandan",302,270,0,0,5,6
"…...Natividad",175,104,0,0,3,1
"…...Pozorrubio",558,470,3,0,28,5
"…...Rosales",511,935,3,1,8,26
"…...City of San Carlos",1539,2215,4,6,54,103
"…...San Fabian",655,395,0,0,24,4
"…...San Jacinto",329,176,1,0,14,1
"…...San Manuel",411,274,0,0,18,8
"…...San Nicolas",300,171,0,0,13,0
"…...San Quintin",302,190,1,1,18,4
"…...Santa Barbara",618,343,0,0,19,4
"…...Santa Maria",269,156,0,0,8,1
"…...Santo Tomas",130,75,0,0,3,0
"…...Sison",338,223,1,1,9,0
"…...Sual",278,196,0,0,12,3
"…...Tayug",337,632,2,1,10,12
"…...Umingan",560,421,0,0,24,8
"…...Urbiztondo",437,279,2,1,22,4
"…...City of Urdaneta",1185,1467,2,5,23,30
"…...Villasis",631,396,1,0,12,1
"REGION II (CAGAYAN VALLEY)",24616,24408,45,50,552,538
"….BATANES",123,114,0,0,11,9
"…...Basco",51,66,0,0,8,9
"…...Itbayat",18,16,0,0,2,0
"…...Ivana",9,7,0,0,0,0
"…...Mahatao",17,8,0,0,0,0
"…...Sabtang",13,8,0,0,1,0
"…...Uyugan",15,9,0,0,0,0
"….CAGAYAN",8959,9539,17,25,188,206
"…...Abulug",225,154,0,0,9,1
"…...Alcala",301,203,0,0,3,1
"…...Allacapan",246,119,0,0,10,2
"…...Amulung",322,183,1,0,7,1
"…...Aparri",543,476,1,1,15,17
"…...Baggao",576,368,2,0,12,2
"…...Ballesteros",267,230,0,0,6,5
"…...Buguey",226,121,2,2,3,1
"…...Calayan",84,65,0,0,0,0
"…...Camalaniugan",186,303,0,0,0,4
"…...Claveria",247,150,0,0,6,2
"…...Enrile",252,152,0,0,5,0
"…...Gattaran",403,276,1,0,8,1
"…...Gonzaga",292,254,2,1,10,7
"…...Iguig",241,111,0,0,3,0
"…...Lal-lo",325,171,1,0,9,2
"…...Lasam",293,216,2,1,10,2
"…...Pamplona",192,100,0,0,6,0
"…...Peńablanca",324,163,1,0,9,1
"…...Piat",199,178,0,1,4,1
"…...Rizal",146,88,0,0,2,0
"…...Sanchez-Mira",208,185,0,0,2,0
"…...Santa Ana",230,170,0,0,2,0
"…...Santa Praxedes",30,17,0,0,1,1
"…...Santa Teresita",146,69,0,0,5,1
"…...Santo Nińo",220,135,0,0,4,1
"…...Solana",643,366,3,1,17,4
"…...Tuao",452,337,1,0,3,0
"…...Tuguegarao City",1140,4179,0,18,17,149
"….ISABELA",11244,10507,18,15,256,240
"…...Alicia",511,478,1,1,12,7
"…...Angadanan",305,205,0,0,5,2
"…...Aurora",254,191,0,0,2,1
"…...Benito Soliven",166,87,2,0,4,0
"…...Burgos",155,100,0,0,4,0
"…...Cabagan",331,294,1,1,4,4
"…...Cabatuan",276,199,0,0,9,3
"…...City of Cauayan",980,1201,1,3,30,33
"…...Cordon",325,221,0,0,12,1
"…...Delfin Albano",181,142,0,0,4,1
"…...Dinapigue",38,32,0,0,0,0
"…...Divilacan",23,12,0,0,1,1
"…...Echague",596,444,2,0,17,7
"…...Gamu",195,115,0,0,4,1
"…...City of Ilagan",913,971,2,2,14,11
"…...Jones",375,285,0,0,5,1
"…...Luna",118,76,0,0,0,0
"…...Maconacon",28,21,0,0,3,2
"…...Mallig",225,161,0,0,5,1
"…...Naguilian",227,186,1,0,3,1
"…...Palanan",84,57,0,0,1,0
"…...Quezon",194,151,0,0,4,1
"…...Quirino",191,128,0,0,5,1
"…...Ramon",365,231,0,0,8,1
"…...Reina Mercedes",172,99,1,0,3,0
"…...Roxas",467,493,2,0,13,7
"…...San Agustin",196,130,0,0,1,0
"…...San Guillermo",118,76,0,0,2,1
"…...San Isidro",155,87,0,0,3,0
"…...San Manuel",235,143,0,0,2,0
"…...San Mariano",268,214,0,0,9,3
"…...San Mateo",537,423,0,0,10,4
"…...San Pablo",181,102,0,0,6,1
"…...Santa Maria",165,117,1,0,6,1
"…...City of Santiago",1116,2228,0,6,30,138
"…...Santo Tomas",157,89,1,0,3,1
"…...Tumauini",421,318,3,2,12,4
"….NUEVA VIZCAYA",3053,3163,9,9,64,66
"…...Alfonso Castaneda",42,32,1,0,2,2
"…...Ambaguio",44,31,0,0,2,2
"…...Aritao",281,184,1,0,5,1
"…...Bagabag",254,145,0,0,5,0
"…...Bambang",399,368,1,1,9,9
"…...Bayombong",489,1354,2,6,8,40
"…...Diadi",109,86,0,0,0,0
"…...Dupax del Norte",189,142,0,0,6,3
"…...Dupax del Sur",124,76,0,0,2,0
"…...Kasibu",168,113,2,1,5,3
"…...Kayapa",136,105,0,0,1,0
"…...Quezon",103,60,0,0,4,1
"…...Santa Fe",104,61,0,0,3,2
"…...Solano",475,340,2,1,10,3
"…...Villaverde",136,66,0,0,2,0
"….QUIRINO",1237,1085,1,1,33,17
"…...Aglipay",196,107,0,0,7,1
"…...Cabarroguis",190,428,0,0,11,12
"…...Diffun",375,230,0,0,7,1
"…...Maddela",247,197,1,1,4,2
"…...Nagtipunan",117,77,0,0,2,1
"…...Saguday",112,46,0,0,2,0
"REGION III (CENTRAL LUZON)",86131,83839,187,180,2847,2754
"….AURORA",1523,1171,3,1,44,13
"…...Baler",267,380,0,1,10,7
"…...Casiguran",159,142,0,0,2,2
"…...Dilasag",97,57,1,0,2,0
"…...Dinalungan",67,45,0,0,1,1
"…...Dingalan",162,122,0,0,3,1
"…...Dipaculao",244,135,2,0,9,1
"…...Maria Aurora",322,194,0,0,12,1
"…...San Luis",205,96,0,0,5,0
"….BATAAN",5976,5976,7,7,289,308
"…...Abucay",338,114,0,0,13,0
"…...Bagac",209,119,0,0,4,3
"…...City of Balanga",793,3145,1,4,32,278
"…...Dinalupihan",894,651,1,1,37,8
"…...Hermosa",531,199,1,0,31,0
"…...Limay",534,231,1,0,31,1
"…...Mariveles",862,460,0,0,58,5
"…...Morong",236,138,3,1,19,4
"…...Orani",584,345,0,1,26,5
"…...Orion",412,250,0,0,11,1
"…...Pilar",328,219,0,0,14,3
"…...Samal",255,105,0,0,13,0
"….BULACAN",25130,22084,57,50,1099,941
"…...Angat",439,310,1,1,18,5
"…...Balagtas",556,325,1,0,21,3
"…...City of Baliwag",1202,1353,3,2,50,45
"…...Bocaue",959,924,5,2,46,25
"…...Bulacan",633,457,1,2,19,0
"…...Bustos",540,369,1,1,14,8
"…...Calumpit",802,563,2,2,28,10
"…...Dońa Remedios Trinidad",152,86,1,0,11,4
"…...Guiguinto",787,503,2,0,45,5
"…...Hagonoy",984,770,1,1,37,5
"…...City of Malolos",1889,4622,8,21,76,574
"…...Marilao",1480,662,4,1,80,5
"…...City of Meycauayan",1625,1153,3,1,90,25
"…...Norzagaray",906,599,0,0,42,10
"…...Obando",451,254,1,0,6,1
"…...Pandi",1000,470,2,0,83,4
"…...Paombong",427,264,0,0,12,1
"…...Plaridel",821,615,2,1,26,14
"…...Pulilan",767,588,2,0,31,4
"…...San Ildefonso",741,560,1,2,40,11
"…...City of San Jose del Monte",4133,3397,7,3,186,97
"…...San Miguel",1094,842,4,4,30,9
"…...San Rafael",707,368,1,1,30,1
"…...Santa Maria",2035,2030,4,5,78,75
"….NUEVA ECIJA",16611,16950,36,36,454,515
"…...Aliaga",479,295,0,0,9,0
"…...Bongabon",443,312,2,0,9,2
"…...City of Cabanatuan",2332,6616,12,29,67,387
"…...Cabiao",590,437,3,0,11,3
"…...Carranglan",255,173,2,0,5,1
"…...Cuyapo",538,379,0,0,13,2
"…...Gabaldon",239,161,0,0,8,1
"…...City of Gapan",960,759,2,1,39,18
"…...General Mamerto Natividad",309,197,0,0,8,0
"…...General Tinio",341,220,1,0,15,2
"…...Guimba",976,795,1,0,33,10
"…...Jaen",511,290,0,0,15,1
"…...Laur",234,150,2,1,7,0
"…...Licab",207,124,0,0,3,0
"…...Llanera",299,174,0,0,10,1
"…...Lupao",336,209,0,0,10,3
"…...Science City of Muńoz",688,428,0,0,17,4
"…...Nampicuan",101,64,0,0,0,0
"…...City of Palayan",348,194,0,0,10,2
"…...Pantabangan",195,146,1,0,4,1
"…...Peńaranda",260,166,1,0,8,2
"…...Quezon",285,176,0,0,5,0
"…...Rizal",494,315,1,1,5,0
"…...San Antonio",586,402,0,0,17,2
"…...San Isidro",430,338,1,1,10,3
"…...San Jose City",1166,1052,4,2,47,21
"…...San Leonardo",486,662,1,1,11,34
"…...Santa Rosa",535,276,0,0,15,2
"…...Santo Domingo",464,310,0,0,8,1
"…...Talavera",986,841,2,0,23,11
"…...Talugtug",178,97,0,0,2,0
"…...Zaragoza",360,192,0,0,10,1
"….PAMPANGA",15745,16559,35,42,295,342
"…...Apalit",768,636,4,0,10,3
"…...Arayat",951,816,2,1,20,7
"…...Bacolor",292,129,1,0,2,0
"…...Candaba",672,404,2,0,10,1
"…...Floridablanca",809,724,2,1,10,8
"…...Guagua",920,1047,0,1,9,10
"…...Lubao",1108,876,3,0,19,10
"…...Mabalacat City",1839,1458,3,1,44,24
"…...Macabebe",482,397,0,1,6,3
"…...Magalang",793,774,3,1,16,10
"…...Masantol",387,264,0,0,10,5
"…...Mexico",1133,666,4,0,28,8
"…...Minalin",333,168,0,0,3,1
"…...Porac",992,672,4,2,22,7
"…...City of San Fernando",2335,6322,4,34,51,238
"…...San Luis",335,252,0,0,9,1
"…...San Simon",347,222,1,0,6,1
"…...Santa Ana",372,230,1,0,8,2
"…...Santa Rita",362,217,0,0,4,2
"…...Sto. Tomas",310,184,0,0,6,1
"…...Sasmuan",205,101,1,0,2,0
"….TARLAC",11373,11344,22,22,359,367
"…...Anao",103,74,0,0,3,0
"…...Bamban",504,257,0,0,27,5
"…...Camiling",737,772,2,1,21,4
"…...Capas",1032,918,1,2,42,18
"…...Concepcion",1262,935,3,1,58,21
"…...Gerona",799,537,1,1,16,5
"…...La Paz",504,374,1,0,9,2
"…...Mayantoc",265,156,1,0,6,4
"…...Moncada",523,366,0,0,8,1
"…...Paniqui",811,661,0,0,17,1
"…...Pura",226,149,0,0,7,0
"…...Ramos",149,111,0,0,3,1
"…...San Clemente",122,70,3,1,0,0
"…...San Jose",251,145,0,0,4,0
"…...San Manuel",207,162,0,0,3,0
"…...Santa Ignacia",369,220,0,0,7,0
"…...City of Tarlac",2947,5102,8,15,113,304
"…...Victoria",562,335,2,1,15,1
"….ZAMBALES",4786,4225,20,17,152,131
"…...Botolan",514,291,3,0,32,7
"…...Cabangan",209,132,0,0,10,1
"…...Candelaria",237,380,2,4,2,11
"…...Castillejos",463,166,1,0,21,1
"…...Iba",389,1117,2,5,14,75
"…...Masinloc",379,183,1,1,12,3
"…...Palauig",326,153,1,0,6,0
"…...San Antonio",316,166,2,0,7,1
"…...San Felipe",200,123,0,0,7,1
"…...San Marcelino",292,688,2,4,8,21
"…...San Narciso",302,162,0,0,4,0
"…...Santa Cruz",452,371,4,1,15,9
"…...Subic",707,293,2,2,14,1
"….CITY OF ANGELES",3104,3149,4,1,98,68
"….CITY OF OLONGAPO",1883,2381,3,4,57,69
"REGION IV-A (CALABARZON)",105239,94899,307,261,3458,2784
"….BATANGAS",19493,20828,44,52,608,669
"…...Agoncillo",275,176,0,0,5,1
"…...Alitagtag",205,114,0,0,5,0
"…...Balayan",685,995,1,1,19,37
"…...Balete",135,98,0,0,7,2
"…...Batangas City",2478,5548,4,22,73,302
"…...Bauan",681,623,0,0,15,20
"…...City of Calaca",558,387,1,1,21,7
"…...Calatagan",395,319,0,0,10,5
"…...Cuenca",319,275,0,0,4,4
"…...Ibaan",386,271,0,0,11,3
"…...Laurel",243,191,0,0,10,5
"…...Lemery",663,1010,1,1,13,25
"…...Lian",396,200,2,0,12,0
"…...City of Lipa",2393,2592,5,6,100,83
"…...Lobo",326,257,1,1,9,6
"…...Mabini",348,264,0,0,5,2
"…...Malvar",376,200,2,0,13,3
"…...Mataasnakahoy",184,100,0,0,8,1
"…...Nasugbu",948,971,3,3,31,25
"…...Padre Garcia",332,221,2,0,16,3
"…...Rosario",851,824,1,2,30,38
"…...San Jose",530,539,4,3,15,11
"…...San Juan",782,649,1,1,13,8
"…...San Luis",285,172,0,0,11,2
"…...San Nicolas",141,83,0,0,3,1
"…...San Pascual",489,465,0,0,8,14
"…...Santa Teresita",137,72,0,0,2,1
"…...City of Sto. Tomas",1058,836,7,2,39,8
"…...Taal",435,320,1,0,6,2
"…...Talisay",323,308,2,1,11,10
"…...City of Tanauan",1393,1273,4,7,63,35
"…...Taysan",270,180,0,0,9,4
"…...Tingloy",112,74,1,1,2,0
"…...Tuy",361,221,1,0,9,1
"….CAVITE",26867,23135,66,56,883,620
"…...Alfonso",427,292,1,0,10,3
"…...Amadeo",312,193,1,0,10,2
"…...City of Bacoor",3858,2798,15,9,136,85
"…...City of Carmona",597,527,0,0,21,7
"…...City of Cavite",928,635,1,0,21,13
"…...City of Dasmarińas",4403,4509,13,9,122,107
"…...Gen. Mariano Alvarez",1115,716,2,0,39,11
"…...General Emilio Aguinaldo",158,95,1,0,5,2
"…...City of General Trias",2347,2023,4,6,98,48
"…...City of Imus",2723,2314,1,2,53,26
"…...Indang",574,366,0,0,12,2
"…...Kawit",747,790,0,4,18,17
"…...Magallanes",176,117,0,0,4,2
"…...Maragondon",320,183,2,0,7,0
"…...Mendez",274,322,0,0,3,4
"…...Naic",1240,937,5,1,57,18
"…...Noveleta",356,241,2,0,12,8
"…...Rosario",773,487,1,0,28,5
"…...Silang",1766,1357,2,1,59,27
"…...City of Tagaytay",501,631,0,0,16,15
"…...Tanza",1853,1411,6,0,86,33
"…...Ternate",188,116,0,0,9,4
"…...City of Trece Martires",1231,2075,9,24,57,181
"….LAGUNA",22168,19871,67,53,690,514
"…...Alaminos",344,196,1,0,7,1
"…...Bay",491,658,2,1,15,13
"…...City of Bińan",2315,2044,7,7,85,72
"…...City of Cabuyao",1933,1499,2,1,87,46
"…...City of Calamba",3268,2920,14,14,120,101
"…...Calauan",593,328,0,0,14,4
"…...Cavinti",170,107,1,0,4,1
"…...Famy",107,127,0,0,2,2
"…...Kalayaan",176,98,0,0,3,1
"…...Liliw",318,190,2,1,9,2
"…...Los Bańos",907,760,1,0,18,7
"…...Luisiana",169,181,0,1,2,4
"…...Lumban",256,168,0,0,4,0
"…...Mabitac",155,94,0,0,2,0
"…...Magdalena",176,103,0,0,6,1
"…...Majayjay",213,196,0,0,5,3
"…...Nagcarlan",462,380,2,0,11,4
"…...Paete",204,125,1,1,2,0
"…...Pagsanjan",328,215,0,0,10,2
"…...Pakil",152,348,0,1,1,7
"…...Pangil",177,96,1,0,2,1
"…...Pila",424,269,3,0,7,2
"…...Rizal",139,81,0,0,10,1
"…...City of San Pablo",2218,2396,7,6,67,68
"…...City of San Pedro",2284,1731,11,4,67,32
"…...Santa Cruz",987,1838,3,10,22,79
"…...Santa Maria",200,141,0,0,4,1
"…...City of Santa Rosa",2417,2217,8,6,93,58
"…...Siniloan",265,174,1,0,5,1
"…...Victoria",320,191,0,0,6,0
"….QUEZON",13295,10890,50,33,418,274
"…...Agdangan",97,54,0,0,4,1
"…...Alabat",138,166,0,2,3,7
"…...Atimonan",542,454,1,1,13,12
"…...Buenavista",196,113,2,0,9,5
"…...Burdeos",111,73,0,0,3,2
"…...Calauag",521,382,3,1,12,6
